Test Time (s),Indent Disp. (nm),Indent Act. Load (µN),Indent Load (µN),Indent Disp. Volt. (V),Indent Act. Load Volt. (V),Indent Act. Output Volt. (V),Dynamic Freq. (Hz),Disp. Amp. (nm),Phase Shift (deg),Load Amp. (µN),Dynamic Comp. (nm/µN),Disp. Amp. Volt. (V),Load Amp. Volt. (V),Storage Mod. (GPa),Loss Mod. (GPa),Hardness (GPa),Complex Mod. (GPa),Tan-Delta,Storage Stiff. (µN/nm),Loss Stiff. (µN/nm),Complex Stiff. (µN/nm),Damping (g/s),Contact Area (nm^2),Contact Depth (nm),Ref. Stor. Mod. (GPa),Ref. Loss Mod. (GPa),Ref. Hardness (GPa),Ref. Compl. Mod. (GPa),Ref. Indent Disp. (nm),Ref. Contact Area (nm^2),Ref. Cont. Depth. (nm)
11.200582,453.559997,967.109612,750.366464,-0.092474,1.559942,1.559942,280.0,0.070023,-6.344207,8.913783,0.007856,1.035824e-005,0.005082,59.54443,5.997294,0.181557,59.845691,0.10072,137.401157,13.838995,138.096328,0.007866,4182041.829398,449.485511,66.3,6.677712,0.225091,66.63544,406.410295,3373211.744309,402.33581
11.205602,453.664274,967.547142,750.763329,-0.092495,1.560292,1.560292,280.0,0.069377,-5.913646,8.918177,0.007779,1.026271e-005,0.005083,60.199495,5.639021,0.181536,60.463028,0.093672,138.957561,13.016465,139.565871,0.007399,4184740.633365,449.633398,66.3,6.210469,0.220193,66.590239,410.89351,3450064.323084,406.862634
11.210623,453.979604,970.12395,753.212412,-0.09256,1.562362,1.562362,280.0,0.069643,-6.082601,8.93245,0.007797,1.030203e-005,0.005084,59.998926,5.785552,0.181894,60.277224,0.096428,138.582535,13.36318,139.225334,0.007596,4190056.973362,449.924566,66.3,6.393149,0.222105,66.607525,409.907329,3431467.007565,405.852291
11.215643,454.040294,967.201998,750.268434,-0.092571,1.560006,1.560006,280.0,0.069975,-6.815726,8.921359,0.007844,1.035117e-005,0.005086,59.518725,6.451536,0.181153,59.867361,0.108395,137.486653,14.902876,138.291993,0.008471,4190865.52671,449.968832,66.3,7.186593,0.224785,66.688358,406.407272,3377410.919283,402.33581
11.220664,454.080806,971.351316,754.402407,-0.092579,1.563348,1.563348,280.0,0.069674,-7.33348,8.942847,0.007791,1.030667e-005,0.005087,59.869104,6.993299,0.182111,60.276163,0.11681,138.308767,16.155821,139.24915,0.009183,4191638.148375,450.011126,66.3,7.74449,0.223336,66.750784,408.914138,3417922.775625,404.844458
11.225684,454.252029,969.13031,752.113874,-0.092613,1.561556,1.561556,280.0,0.069736,-7.291567,8.935002,0.007805,1.031575e-005,0.005089,59.739967,6.937931,0.181424,60.141487,0.116136,138.063491,16.034073,138.991435,0.009114,4194861.519015,450.187531,66.3,7.699784,0.223456,66.745612,408.405977,3405810.838285,404.34148
11.230705,454.384823,970.541878,753.472859,-0.09264,1.56269,1.56269,280.0,0.070622,-7.497653,8.943888,0.007896,1.044681e-005,0.00509,58.965576,7.050921,0.181693,59.385644,0.119577,136.295345,16.297776,137.266306,0.009264,4196187.03026,450.260051,66.3,7.927949,0.229703,66.772317,402.974568,3319134.665823,398.849796
11.235725,455.011115,972.235956,754.911848,-0.09277,1.56404,1.56404,280.0,0.071331,-7.370253,8.954135,0.007966,1.055175e-005,0.005091,58.356916,6.859512,0.181579,58.758681,0.117544,135.059042,15.875396,135.988871,0.009024,4206806.527976,450.840602,66.3,7.793175,0.234373,66.75645,399.564501,3259193.561781,395.393987
11.240745,455.118406,969.80989,752.444528,-0.092791,1.562085,1.562085,280.0,0.071099,-7.195268,8.945332,0.007948,1.051749e-005,0.005093,58.505341,6.708687,0.180885,58.88872,0.114668,135.441657,15.530816,136.329192,0.008828,4209236.92965,450.973355,66.3,7.602485,0.232295,66.734457,400.523345,3277685.938997,396.378294
11.245766,455.256287,974.039372,756.618704,-0.092819,1.565485,1.565485,280.0,0.071355,-7.358012,8.964835,0.007959,1.055537e-005,0.005093,58.381064,6.850359,0.181797,58.781597,0.117339,135.185372,15.862478,136.112832,0.009016,4211194.150304,451.080233,66.3,7.779557,0.234461,66.754861,399.570041,3265293.499762,395.393987
11.250786,455.540386,971.211668,753.677307,-0.092877,1.563204,1.563204,280.0,0.071542,-7.509933,8.95427,0.00799,1.05829e-005,0.005094,58.089412,6.961963,0.180874,58.505117,0.119849,134.592526,16.130791,135.55571,0.009169,4216361.205128,451.362258,66.3,7.945994,0.235619,66.774462,398.100235,3236716.891872,393.922107
11.255807,455.509396,973.561865,756.041896,-0.09287,1.565095,1.565095,280.0,0.071241,-8.181317,8.967518,0.007944,1.053851e-005,0.005095,58.344725,7.633262,0.181459,58.841937,0.13083,135.176406,17.685178,136.328377,0.010052,4215882.380709,451.336131,66.3,8.674053,0.234316,66.865007,399.567252,3264860.41466,395.393987
11.260827,455.724075,974.26342,756.657438,-0.092914,1.565655,1.565655,280.0,0.071409,-8.360648,8.973199,0.007958,1.05633e-005,0.005097,58.184585,7.784584,0.181447,58.70303,0.133791,134.864448,18.043672,136.066136,0.010256,4219577.342433,451.537705,66.3,8.870355,0.235593,66.890756,398.598494,3249808.583581,394.412124
11.265848,455.760887,972.566226,754.947736,-0.09292,1.56429,1.56429,280.0,0.071586,-8.374989,8.967806,0.007982,1.058941e-005,0.005098,57.988451,7.773255,0.181015,58.507128,0.134048,134.419313,18.018684,135.621623,0.010242,4220172.490039,451.570163,66.3,8.887404,0.236624,66.893019,397.623423,3228391.287299,393.432699
11.270868,456.169881,976.557322,758.772365,-0.093005,1.567487,1.567487,280.0,0.072649,-8.107117,8.988664,0.008082,1.074669e-005,0.005099,57.227347,7.423729,0.181662,57.706854,0.129723,132.751529,17.220987,133.863852,0.009789,4226313.644725,451.904947,66.3,8.600665,0.243828,66.855527,392.354111,3148776.868089,388.089177
11.275889,456.303106,973.38895,755.552268,-0.093031,1.56494,1.56494,280.0,0.072755,-8.100948,8.976509,0.008105,1.076241e-005,0.005101,57.040081,7.394682,0.180788,57.517408,0.12964,132.356974,17.158773,133.464572,0.009753,4228859.623722,452.043663,66.3,8.595139,0.244252,66.854816,391.384896,3130087.526566,387.125453
11.280909,456.680437,976.559454,758.569478,-0.09311,1.567478,1.567478,280.0,0.073242,-9.291005,8.993588,0.008144,1.083445e-005,0.005102,56.520911,8.439574,0.181251,57.147527,0.149318,131.244444,19.597121,132.699477,0.011139,4234805.048338,452.367418,66.3,9.899765,0.249396,67.035031,388.561637,3077688.618629,384.248619
11.285929,456.904564,976.283838,758.204194,-0.093155,1.567252,1.567252,280.0,0.073133,-9.463019,8.99477,0.008131,1.081834e-005,0.005104,56.560008,8.605985,0.180983,57.210991,0.152157,131.401128,19.993563,132.913502,0.011365,4239055.899645,452.598745,66.3,10.08799,0.248684,67.063086,388.554438,3085041.514055,384.248619
11.29095,457.00523,975.438543,757.320004,-0.093175,1.566572,1.566572,280.0,0.07281,-9.288814,8.99331,0.008096,1.077055e-005,0.005105,56.83139,8.48135,0.180675,57.460771,0.149237,132.068101,19.709455,133.530692,0.011203,4241399.610612,452.726233,66.3,9.894417,0.245894,67.034241,390.443121,3116439.414645,386.164123
11.29597,457.165349,978.977921,760.79511,-0.093208,1.569408,1.569408,280.0,0.073315,-9.508601,9.012057,0.008135,1.084519e-005,0.005106,56.488782,8.638093,0.181408,57.145421,0.152917,131.304755,20.078725,132.831072,0.011413,4243521.106098,452.8416,66.3,10.138395,0.249895,67.070687,388.094978,3080517.849189,383.771229
11.300991,457.275974,975.721793,757.496547,-0.09323,1.566793,1.566793,280.0,0.073355,-9.578222,8.999492,0.008151,1.085114e-005,0.005108,56.345447,8.682125,0.180534,57.010426,0.154087,131.00552,20.186304,132.551625,0.011474,4245720.637086,452.961178,66.3,10.215997,0.249958,67.082461,387.133025,3066493.280139,382.818228
11.306011,457.997513,979.49943,760.979554,-0.09338,1.569808,1.569808,280.0,0.073257,-9.270399,9.019412,0.008122,1.083669e-005,0.005109,56.523078,8.419466,0.180793,57.146703,0.148956,131.62413,19.606237,133.076354,0.011144,4259016.339759,453.683282,66.3,9.875799,0.248746,67.031496,389.040833,3095521.673839,384.726602
11.311032,458.340231,978.26569,759.607714,-0.09345,1.568811,1.568811,280.0,0.074693,-9.968794,9.016195,0.008284,1.104913e-005,0.00511,55.198566,8.870896,0.180275,55.906837,0.160709,128.609099,20.668615,130.259326,0.011748,4263612.115843,453.932598,66.3,10.654994,0.26008,67.150718,380.153385,2955331.585939,375.745752
11.316052,458.51832,978.412362,759.683508,-0.093486,1.568925,1.568925,280.0,0.07492,-10.549446,9.019316,0.008307,1.108271e-005,0.005112,54.916024,9.35891,0.180172,55.707799,0.170422,127.994043,21.813029,129.839452,0.012399,4266494.913173,454.088913,66.3,11.298993,0.262613,67.255909,378.311334,2927132.225632,373.881926
11.321072,458.647814,981.267209,762.4868,-0.093513,1.57121,1.57121,280.0,0.074557,-10.389327,9.034906,0.008252,1.102893e-005,0.005113,55.313912,9.27563,0.180718,56.086239,0.167691,128.962254,21.625773,130.762904,0.012292,4269198.672438,454.235466,66.3,11.117895,0.259633,67.225721,381.093494,2971584.320218,376.681146
11.326093,458.663951,978.177984,759.393863,-0.093515,1.568734,1.568734,280.0,0.074566,-10.329105,9.023096,0.008264,1.103024e-005,0.005115,55.238131,9.208039,0.179969,56.000349,0.166697,128.793462,21.469502,130.570653,0.012203,4269721.71674,454.263812,66.3,11.052021,0.259267,67.214858,380.613298,2963810.687414,376.213158
11.331113,458.9598,982.33857,763.434358,-0.093576,1.572061,1.572061,280.0,0.074933,-10.565794,9.044728,0.008285,1.108466e-005,0.005116,55.01537,9.389649,0.18072,55.810899,0.170673,128.345271,21.905098,130.20116,0.012451,4274462.945293,454.520665,66.3,11.315633,0.262461,67.258706,379.251815,2943218.942578,374.812681
11.336134,459.111487,980.280616,761.316854,-0.093606,1.57041,1.57041,280.0,0.074687,-10.436182,9.03769,0.008264,1.104821e-005,0.005117,55.165568,9.294596,0.180084,55.943091,0.168485,128.745102,21.691677,130.55968,0.01233,4277747.295799,454.698501,66.3,11.170586,0.260116,67.234455,380.626144,2961585.361804,376.213158
11.341154,459.287689,981.411712,762.377624,-0.093642,1.571312,1.571312,280.0,0.074399,-10.256886,9.045347,0.008225,1.100563e-005,0.005119,55.452046,9.174698,0.180182,56.205911,0.165453,129.46811,21.420867,131.228217,0.012176,4281346.236411,454.893287,66.3,10.969523,0.257575,67.201343,382.483007,2994942.164372,378.088606
11.346175,459.378308,983.392899,764.3234,-0.09366,1.572895,1.572895,280.0,0.074835,-10.522762,9.056909,0.008263,1.107016e-005,0.00512,55.127849,9.367936,0.180597,55.918136,0.169931,128.726154,21.874576,130.571512,0.012434,4282342.299545,454.947181,66.3,11.266431,0.261214,67.250446,380.644286,2960713.690829,376.213158
11.351195,459.587759,980.773864,761.621247,-0.093702,1.570795,1.570795,280.0,0.074904,-10.562132,9.047287,0.008279,1.10803e-005,0.005121,54.979254,9.379805,0.179797,55.773642,0.170606,128.438821,21.912467,130.294616,0.012455,4286322.222839,455.162455,66.3,11.311195,0.261464,67.25796,379.70423,2947511.084526,375.278926
11.356215,459.731734,985.059681,765.849245,-0.093732,1.57422,1.57422,280.0,0.075273,-10.620477,9.069477,0.0083,1.11349e-005,0.005123,54.812096,9.405923,0.180705,55.613283,0.171603,128.07781,21.978542,129.949921,0.012493,4288296.930184,455.269227,66.3,11.377282,0.26439,67.269105,378.344434,2930964.87513,373.881926
11.361236,459.868186,982.351995,763.088406,-0.093759,1.572052,1.572052,280.0,0.076527,-11.456288,9.059442,0.008447,1.132046e-005,0.005124,53.629714,9.963999,0.180017,54.547479,0.185793,125.32978,23.285334,127.474549,0.013236,4289310.452953,455.324017,66.3,12.318043,0.275124,67.434592,370.152628,2806540.934836,365.608459
11.366256,459.850836,984.456327,765.20159,-0.093754,1.573736,1.573736,280.0,0.076753,-11.606939,9.071562,0.008461,1.135377e-005,0.005125,53.513237,10.079076,0.180544,54.454149,0.188347,125.046704,23.552215,127.245373,0.013387,4288564.375811,455.283685,66.3,12.487429,0.277132,67.465739,369.267713,2793877.246325,364.700561
11.371277,460.021482,985.479272,766.156513,-0.093789,1.57455,1.57455,280.0,0.076212,-11.325992,9.078719,0.008395,1.127372e-005,0.005127,53.993135,9.909994,0.180606,54.895051,0.183542,126.224624,23.167487,128.333114,0.013169,4292407.72427,455.49141,66.3,12.168817,0.272322,67.407493,372.875809,2846760.938367,368.345737
11.376297,460.113958,983.493297,764.13526,-0.093807,1.57296,1.57296,280.0,0.076371,-11.387407,9.071999,0.008418,1.129735e-005,0.005128,53.808692,9.933149,0.180064,54.717847,0.184601,125.817796,23.226117,127.943622,0.013202,4294070.36561,455.58124,66.3,12.23906,0.273369,67.420209,371.507264,2828440.018983,366.974546
11.381318,460.228643,987.621959,768.218155,-0.09383,1.576256,1.576256,280.0,0.076695,-11.564295,9.093461,0.008434,1.134518e-005,0.00513,53.658117,10.066207,0.180959,54.594157,0.187599,125.486896,23.541211,127.675955,0.013381,4295520.317087,455.659564,66.3,12.437811,0.276271,67.456572,370.632335,2813581.99031,366.063256
